monkey_id lid pid lid_pid age_at_sampling within.age mean.age individual_sex reads unique non_unique meth_cpg unmeth_cpg reads_msp1 perc_chg_meth perc_chh_meth chrX_ratio prep_date parentName grantparent_tissueType date_birth processing_timestamp university perc_unique n
24 9H7 LID_101389 PID_10042 LID_101389_PID_10042 4.19 -3.46 7.65 F 16316579 9303865 6500792 10576719 10171849 14408241 0.9% 0.6% 0.837323 2018-08-31 DID_1001218 whole_blood 2008-10-10 2012-12-18 uw 0.570209294485076 2
25 7F0 LID_101391 PID_10042 LID_101391_PID_10042 5.18 -3.01 8.19 F 9747304 5127122 4359170 6138796 6595863 9071691 1.3% 1.1% 0.801769 2018-08-31 DID_1001220 whole_blood 2007-09-24 2012-11-27 uw 0.526004113547705 2
26 88T LID_101392 PID_10042 LID_101392_PID_10042 8.14 -4.51333333333333 12.6533333333333 M 18059074 9501879 8104287 10313541 16876189 17155843 0.7% 0.5% 0.448472 2018-09-04 DID_1001221 whole_blood 2003-12-04 2012-01-23 uw 0.526155383160842 3
27 77I LID_101394 PID_10042 LID_101394_PID_10042 16.08 -3.9 19.98 M 21920286 12824863 8543296 13844636 18517901 20045380 0.8% 0.5% 0.454737 2018-09-06 DID_1001223 whole_blood 1998-01-13 2014-02-10 uw 0.585068233142578 2
28 81O LID_101395 PID_10042 LID_101395_PID_10042 11.3 -3.895 15.195 M 15918427 8703837 6830826 10105569 11516833 14720206 0.8% 0.6% 0.457874 2018-09-04 DID_1001224 whole_blood 2000-11-13 2012-03-01 uw 0.546777454832692 2
29 98T LID_101396 PID_10042 LID_101396_PID_10042 10.01 -0.933333333333334 10.9433333333333 F 17248010 9097182 7716786 10898346 13288750 16224365 0.7% 0.5% 0.784294 2018-09-06 DID_1001225 whole_blood 2004-01-12 2014-01-14 uw 0.527433715541677 3
30 3E2 LID_101400 PID_10042 LID_101400_PID_10042 5.31 -4.385 9.695 F 16475904 9124317 6948874 10754013 12233207 15138489 0.8% 0.5% 0.806594 2018-09-04 DID_1001230 whole_blood 2006-10-16 2012-02-06 uw 0.553797655048245 2
31 6D4 LID_101402 PID_10042 LID_101402_PID_10042 6.12 -3.03 9.15 F 21620215 10622943 10250764 12189698 16166087 19880352 0.9% 0.8% 0.792684 2018-09-14 DID_1001232 whole_blood 2006-10-14 2012-11-27 uw 0.491343078688163 2
32 96B LID_101407 PID_10042 LID_101407_PID_10042 18.95 -1.32333333333333 20.2733333333333 M 17309126 9624693 7096551 10433791 13750604 15558319 0.8% 0.6% 0.463254 2018-08-30 DID_1001238 whole_blood 1994-01-06 2012-12-17 uw 0.556047312845259 3
33 0C6 LID_101413 PID_10042 LID_101413_PID_10042 8.13 -3.375 11.505 F 8910292 4688577 4010643 5523639 6993055 8486164 0.8% 0.5% 0.770372 2018-09-04 DID_1001244 whole_blood 2005-12-20 2014-02-05 uw 0.526197906869943 2
34 40L LID_101414 PID_10042 LID_101414_PID_10042 14.11 -2.875 16.985 F 16100931 8309712 7379778 9856911 12767663 15277191 0.7% 0.5% 0.760515 2018-09-04 DID_1001245 whole_blood 1999-12-26 2014-02-04 uw 0.51610133600349 2
