monkey_id lid pid lid_pid age_at_sampling within.age mean.age individual_sex reads unique non_unique meth_cpg unmeth_cpg reads_msp1 perc_chg_meth perc_chh_meth chrX_ratio prep_date parentName grantparent_tissueType date_birth processing_timestamp university perc_unique n
103 73C LID_105333 PID_10123 LID_105333_PID_10123 17.86 1.02 16.84 F 11114043 5383154 2333331 7933166 8148670 10123642 0.7% 0.5% 0.812992 2019-09-23 DID_1001641 whole_blood 1994-04-05 2012-02-13 uw 0.484356052968303 2
104 49Z LID_105336 PID_10123 LID_105336_PID_10123 7.21 -2.415 9.625 M 10566272 4576965 2614989 6613780 8736206 10040810 0.6% 0.4% 0.47837 2019-09-23 DID_1001645 whole_blood 2004-11-22 2012-02-06 uw 0.433167440701886 2
105 28G LID_105337 PID_10123 LID_105337_PID_10123 15.01 -3.88 18.89 F 12895198 6905248 2479377 10899935 9547319 11762431 0.7% 0.5% 0.859898 2019-09-23 DID_1001647 whole_blood 1997-01-26 2012-01-31 uw 0.535489877704863 2
106 93R LID_105338 PID_10123 LID_105338_PID_10123 10.28 -4.865 15.145 M 12325998 5834844 2689123 8601353 10545798 11426224 0.6% 0.4% 0.473209 2019-09-23 DID_1001649 whole_blood 2001-10-23 2012-02-02 uw 0.473377003630862 2
107 98K LID_105340 PID_10123 LID_105340_PID_10123 12.86 -6.545 19.405 M 7225638 3883135 1431524 6153985 4616049 6527441 0.7% 0.5% 0.509567 2019-09-23 DID_1001652 whole_blood 1999-03-30 2012-02-07 uw 0.537410675707806 4
108 42L LID_105342 PID_10123 LID_105342_PID_10123 12.13 -0.984999999999999 13.115 F 10435994 4873134 2589959 7093701 7217322 9717912 0.7% 0.5% 0.828891 2019-09-23 DID_1001655 whole_blood 1999-12-30 2012-02-15 uw 0.466954465477845 2
109 30C LID_105350 PID_10123 LID_105350_PID_10123 18.85 -0.0166666666666657 18.8666666666667 M 12060770 5213588 3054999 7426858 9703974 11512384 0.6% 0.4% 0.472242 2019-09-23 DID_1001670 whole_blood 1994-01-21 2012-11-27 uw 0.432276546190666 3
110 1G0 LID_105351 PID_10123 LID_105351_PID_10123 4.13 -5 9.13 F 13915352 6815142 3012401 10988745 11017834 13304963 0.7% 0.5% 0.809053 2019-09-23 DID_1001680 whole_blood 2008-10-18 2012-12-03 uw 0.489757068308441 3
111 30L LID_105354 PID_10123 LID_105354_PID_10123 12.9 -2.0075 14.9075 M 12514632 5977694 2893136 8971733 8965226 11643322 0.7% 0.5% 0.509289 2019-09-23 DID_1001685 whole_blood 2000-01-04 2012-11-27 uw 0.477656394530818 4
112 55R LID_105356 PID_10123 LID_105356_PID_10123 11.07 -1.95 13.02 F 12327998 5057034 3246116 7222609 8648320 11393144 0.6% 0.4% 0.790655 2019-09-23 DID_1001692 whole_blood 2001-11-08 2012-12-05 uw 0.410207237217268 2
113 80B LID_105359 PID_10123 LID_105359_PID_10123 18.61 0.424999999999997 18.185 M 10896918 4512545 2983069 6340494 8460748 10385614 0.6% 0.4% 0.479503 2019-09-23 DID_1001700 whole_blood 1994-04-19 2012-11-28 uw 0.414112045259036 2
114 8C9 LID_105361 PID_10123 LID_105361_PID_10123 6.1 -4.01333333333333 10.1133333333333 M 17409748 8753623 3682907 13299926 14036734 15887181 0.6% 0.4% 0.506368 2019-09-23 DID_1001711 whole_blood 2006-10-29 2012-12-04 uw 0.502800097968104 2
115 1H6 LID_105368 PID_10123 LID_105368_PID_10123 4.12 -3.41 7.53 F 11389189 6091070 2049555 10055569 6876565 9831479 0.9% 0.7% 0.852265 2019-09-23 DID_1001734 whole_blood 2008-12-04 2013-01-15 uw 0.534811565599623 2
116 9I7 LID_105370 PID_10123 LID_105370_PID_10123 4.08 -1.43 5.51 F 13929758 7669890 2483706 8059403 7950425 8823571 0.9% 0.7% 0.890938 2019-09-23 DID_1001740 whole_blood 2009-11-18 2013-12-16 uw 0.550611862747364 2
117 80S LID_105373 PID_10123 LID_105373_PID_10123 11.08 -0.413333333333332 11.4933333333333 F 5054650 2896950 912389 4578121 3169468 4446957 0.9% 0.7% 0.887926 2019-09-23 DID_1001750 whole_blood 2002-11-12 2013-12-10 uw 0.573125735708704 3
118 78B LID_105380 PID_10123 LID_105380_PID_10123 19.89 0.945 18.945 M 4705344 2507559 880086 4324858 3045846 4378580 1.0% 0.8% 0.517341 2019-09-23 DID_1001773 whole_blood 1994-01-19 2013-12-09 uw 0.53291725323377 2
119 33T LID_105385 PID_10123 LID_105385_PID_10123 11.01 -3.005 14.015 M 10339138 5293220 1994749 8464415 8133562 9598996 0.9% 0.6% 0.483648 2019-09-23 DID_1001790 whole_blood 2002-12-07 2013-12-11 uw 0.511959507649477 2
120 9K4 LID_105389 PID_10123 LID_105389_PID_10123 4.1 -0.49 4.59 M 12584518 6504416 2303131 11234589 11096268 11956432 1.0% 0.8% 0.4744 2019-09-23 DID_1001812 whole_blood 2010-09-24 2014-10-30 uw 0.516858571778434 2
121 4D3 LID_105397 PID_10123 LID_105397_PID_10123 8.08 -3.5 11.58 M 9445405 4664549 1827345 7115376 7827826 8555467 0.9% 0.7% 0.481445 2019-09-23 DID_1001890 whole_blood 2006-09-25 2014-10-23 uw 0.49384319677134 2
122 21H LID_105402 PID_10123 LID_105402_PID_10123 16.88 1.505 15.375 F 15048554 7599260 3097948 12906006 11704871 14307833 1.1% 0.9% 0.801387 2019-09-23 DID_1001899 whole_blood 1997-03-28 2014-02-13 uw 0.504982737876344 2
123 73V LID_105405 PID_10123 LID_105405_PID_10123 10.2 -0.626666666666667 10.8266666666667 M 15036470 7055649 3168131 11719786 11530846 14270594 1.0% 0.7% 0.477754 2019-09-23 DID_1001909 whole_blood 2003-11-04 2014-01-17 uw 0.469235731524753 3
124 43F LID_105406 PID_10123 LID_105406_PID_10123 18.04 -2.86333333333333 20.9033333333333 F 13027224 7033412 2550038 7959932 8214423 8862749 0.8% 0.7% 0.880369 2019-09-23 DID_1001910 whole_blood 1996-01-11 2014-01-27 uw 0.539901056433819 3
125 25P LID_105409 PID_10123 LID_105409_PID_10123 13.16 1.51 11.65 F 11891057 5852987 2420935 9634015 9237346 11133941 0.9% 0.7% 0.805779 2019-09-23 DID_1001917 whole_blood 2000-12-08 2014-02-04 uw 0.492217554755645 2
126 60T LID_105412 PID_10123 LID_105412_PID_10123 12 -0.969999999999999 12.97 M 14184281 7105828 2757700 11178996 10597282 12997930 1.4% 1.1% 0.476387 2019-09-23 DID_1001920 whole_blood 2002-11-17 2014-11-17 uw 0.500964976652676 2
127 15E LID_105416 PID_10123 LID_105416_PID_10123 19.04 1.5 17.54 F 14553404 6817992 3321772 9012671 11106146 12370029 0.9% 0.7% 0.820824 2019-09-23 DID_1001929 whole_blood 1995-01-30 2014-02-13 uw 0.468480913468766 2
128 9C6 LID_105418 PID_10123 LID_105418_PID_10123 7.3 -1.435 8.735 M 12125226 5733625 2674075 8890454 8564606 11160285 1.0% 0.7% 0.476833 2019-09-23 DID_1001932 whole_blood 2006-10-12 2014-01-28 uw 0.472867474800057 2
129 61R LID_105421 PID_10123 LID_105421_PID_10123 12.16 -0.593333333333332 12.7533333333333 M 11260731 6476318 1895294 9635689 6879649 9057723 0.9% 0.7% 0.498014 2019-09-23 DID_1001948 whole_blood 2001-12-15 2014-02-12 uw 0.575124119384434 3
130 7B2 LID_105422 PID_10123 LID_105422_PID_10123 8.3 -2.21 10.51 M 13450036 6972907 2681789 11238864 10084141 12531810 0.9% 0.6% 0.530679 2019-09-23 DID_1001949 whole_blood 2005-10-10 2014-01-28 uw 0.518430359591603 3
131 7B2 LID_105423 PID_10123 LID_105423_PID_10123 9.08 -1.43 10.51 M 17698882 8510198 3818755 12006054 14291798 16072423 0.8% 0.6% 0.481482 2019-09-23 DID_1001950 whole_blood 2005-10-10 2014-11-10 uw 0.480832518121766 3
132 8D6 LID_105425 PID_10123 LID_105425_PID_10123 9.02 -0.42 9.44 M 15971432 7451959 3505638 12350130 12586887 15406560 0.9% 0.7% 0.479804 2019-09-23 DID_1001952 whole_blood 2006-10-19 2015-10-27 uw 0.466580517013127 3
133 0G9 LID_105426 PID_10123 LID_105426_PID_10123 7.01 -0.71 7.72 M 12888936 7019624 2251259 12086771 9545179 11971102 1.1% 0.8% 0.484935 2019-09-23 DID_1001954 whole_blood 2008-11-09 2015-11-11 uw 0.544624009305345 3
134 9C1 LID_105427 PID_10123 LID_105427_PID_10123 9.02 -2.045 11.065 F 12280808 6509020 2019534 11304685 10112482 11433889 0.9% 0.7% 0.808218 2019-09-23 DID_1001957 whole_blood 2006-10-26 2015-11-04 uw 0.530015614607768 2
135 30L LID_105429 PID_10123 LID_105429_PID_10123 15.82 0.912500000000001 14.9075 M 12072303 6086043 2201576 10061136 10012737 11262633 0.9% 0.7% 0.484869 2019-09-23 DID_1001971 whole_blood 2000-01-04 2015-10-29 uw 0.504132724302894 4
136 53E LID_105433 PID_10123 LID_105433_PID_10123 19.68 -0.41 20.09 F 14344692 7314654 2595153 11933039 11760694 13191111 0.9% 0.7% 0.794234 2019-09-23 DID_1001997 whole_blood 1996-02-12 2015-10-20 uw 0.509920603384165 3
137 94H LID_105435 PID_10123 LID_105435_PID_10123 17.78 1.885 15.895 M 9887569 4522398 2346898 6629922 7404236 9296491 0.8% 0.6% 0.478919 2019-09-23 DID_1002004 whole_blood 1998-01-16 2015-10-27 uw 0.457382193742466 2
138 9K4 LID_105436 PID_10123 LID_105436_PID_10123 5.08 0.49 4.59 M 11733150 6216555 1957225 10294844 9793695 10946948 1.0% 0.7% 0.482893 2019-09-23 DID_1002015 whole_blood 2010-09-24 2015-10-22 uw 0.529828306976387 2
139 6M7 LID_105437 PID_10123 LID_105437_PID_10123 4.22 -1.545 5.765 F 8471625 5542995 1075717 9888251 5009801 7615849 1.0% 0.7% 0.859657 2019-09-23 DID_1002016 whole_blood 2011-08-21 2015-11-10 uw 0.654301270417423 2
140 1L1 LID_105438 PID_10123 LID_105438_PID_10123 5.08 -1.545 6.625 F 12118355 6820447 1990498 11379226 8913711 11069870 1.0% 0.7% 0.831619 2019-09-23 DID_1002017 whole_blood 2010-09-26 2015-10-27 uw 0.562819541101082 2
141 88T LID_105439 PID_10123 LID_105439_PID_10123 11.91 -0.743333333333334 12.6533333333333 M 11350278 5673142 2158203 9416270 9395882 10671693 0.9% 0.7% 0.490035 2019-09-23 DID_1002019 whole_blood 2003-12-04 2015-11-02 uw 0.499824057172873 3
142 7B3 LID_105442 PID_10123 LID_105442_PID_10123 10.12 -2.95 13.07 M 13953810 6389232 3178541 9784552 11626270 13283596 0.9% 0.7% 0.487014 2019-09-23 DID_1002032 whole_blood 2005-10-26 2015-12-09 uw 0.457884405764447 2
143 31S LID_105448 PID_10123 LID_105448_PID_10123 13.99 0.27 13.72 M 9510840 5231795 1509355 8668545 7395409 8645613 0.9% 0.6% 0.486507 2019-09-23 DID_1002060 whole_blood 2001-12-05 2015-12-01 uw 0.550087584272262 3
144 93O LID_105451 PID_10123 LID_105451_PID_10123 14.96 0.58 14.38 F 12282616 6664373 2045226 10018846 8744448 10314897 0.9% 0.6% 0.84216 2019-09-23 DID_1002069 whole_blood 2000-12-02 2015-11-19 uw 0.54258579768349 3
145 18Z LID_105452 PID_10123 LID_105452_PID_10123 11.76 -3.61333333333334 15.3733333333333 M 11812394 6001236 2149594 9943940 9912611 11046369 0.8% 0.6% 0.485867 2019-09-23 DID_1002070 whole_blood 2004-02-15 2015-11-18 uw 0.508045701828097 3
146 84J LID_105455 PID_10123 LID_105455_PID_10123 16.87 2.41 14.46 M 13054237 5653124 3599306 8576488 9233087 12589273 0.8% 0.6% 0.482087 2019-09-23 DID_1002074 whole_blood 1999-01-04 2015-11-19 uw 0.433048978657274 2
147 94S LID_105471 PID_10123 LID_105471_PID_10123 13.95 1.77635683940025e-15 13.95 F 14390704 7528619 2789341 12495575 11684250 13687116 0.8% 0.6% 0.841783 2019-09-23 DID_1003525 whole_blood 2002-11-17 2016-10-28 uw 0.52315849175968 2
148 3A6 LID_105473 PID_10123 LID_105473_PID_10123 11.98 1.77635683940025e-15 11.98 M 12227435 7205077 1946376 12593349 7329482 10937505 0.9% 0.6% 0.535889 2019-09-23 DID_1003527 whole_blood 2004-11-07 2016-11-01 uw 0.589254982749857 2
149 4D8 LID_105495 PID_10123 LID_105495_PID_10123 12.18 1.95333333333333 10.2266666666667 F 12983915 6702532 2505154 10990736 9559338 11958136 0.7% 0.5% 0.85237 2019-09-23 DID_1003639 whole_blood 2006-09-29 2018-12-04 uw 0.516218105247916 2
150 1E2 LID_105506 PID_10123 LID_105506_PID_10123 12.11 3 9.11 F 8610301 4606892 1441947 7452736 6696826 7847755 0.8% 0.6% 0.856586 2019-09-23 DID_1003718 whole_blood 2006-10-17 2018-11-27 uw 0.535044245259254 2
151 73C LID_105514 PID_10123 LID_105514_PID_10123 15.82 -1.02 16.84 F 9725108 4460229 2122190 7075711 7892084 9233792 0.7% 0.5% 0.77241 2019-09-23 DID_1001557 whole_blood 1994-04-05 2010-01-28 uw 0.458630279478644 2
152 63V LID_105616 PID_10123 LID_105616_PID_10123 7.33 -6.49333333333333 13.8233333333333 F 24007997 10535028 6152712 14998779 17803692 22746789 0.7% 0.5% 0.804937 2019-10-18 DID_1001288 whole_blood 2003-11-01 2011-03-02 uw 0.438813283757075 3
153 60T LID_105628 PID_10123 LID_105628_PID_10123 13.94 0.970000000000001 12.97 M 13672914 5825350 3557963 8267832 10680709 13153321 0.8% 0.5% 0.493373 2019-10-18 DID_1003524 whole_blood 2002-11-17 2016-10-27 uw 0.426050364977063 2
154 94S LID_105629 PID_10123 LID_105629_PID_10123 13.95 1.77635683940025e-15 13.95 F 10573515 4797344 2542642 7214803 7857730 10142635 0.7% 0.5% 0.813854 2019-10-18 DID_1003525 whole_blood 2002-11-17 2016-10-28 uw 0.453713263753823 2
155 49Z LID_105635 PID_10123 LID_105635_PID_10123 12.04 2.415 9.625 M 14308511 6041424 3765548 8877506 10968737 13812867 0.8% 0.6% 0.503703 2019-10-18 DID_1003570 whole_blood 2004-11-22 2016-12-08 uw 0.422225904568267 2
156 6M7 LID_105646 PID_10123 LID_105646_PID_10123 7.31 1.545 5.765 F 7750873 3358839 1879753 4748492 6184044 7275616 0.7% 0.5% 0.786194 2019-10-18 DID_1003624 whole_blood 2011-08-21 2018-12-13 uw 0.433349765890887 2
157 98Z LID_105676 PID_10123 LID_105676_PID_10123 9.05 -2.505 11.555 M 12672394 5898632 2720885 7915818 12287705 12017121 0.7% 0.5% 0.493403 2019-10-18 DID_1001742 whole_blood 2004-11-21 2013-12-09 uw 0.465471007293492 2
158 11Z LID_105679 PID_10123 LID_105679_PID_10123 10.17 -3.44 13.61 M 15083978 6541364 3860484 8969607 12246932 14407673 0.7% 0.5% 0.490729 2019-10-18 DID_1001803 whole_blood 2003-11-12 2014-01-14 uw 0.433663056257441 2
159 1J0 LID_105683 PID_10123 LID_105683_PID_10123 5.95 -3.755 9.705 M 11014778 5219232 2621152 8303861 8139019 10452920 0.8% 0.5% 0.501822 2019-10-18 DID_1001992 whole_blood 2009-11-30 2015-11-12 uw 0.473839055131206 4
160 7M3 LID_1067958 PID_10525 LID_1067958_PID_10525 10.03 0.49 9.54 M 16757707 11161848 5140107 8121723 26987522 14917134 0.7% 0.5% 0.475141 2023-03-01 DID_1007433 whole_blood 2011-09-25 2021-10-07 asu 0.666072512187974 2
161 93Z LID_1067959 PID_10524 LID_1067959_PID_10524 16.82 0.490000000000002 16.33 F 15607349 9834165 5385835 8542859 17837854 13468619 0.7% 0.5% 0.803518 2023-03-01 DID_1007434 whole_blood 2004-12-13 2021-10-07 asu 0.630098359433111 2
162 37N LID_1067960 PID_10525 LID_1067960_PID_10525 21.67 0.484999999999999 21.185 M 19109336 10055434 8526355 10698469 17923451 18253777 0.7% 0.5% 0.474395 2023-03-01 DID_1007435 whole_blood 2000-02-06 2021-10-07 asu 0.526205306139366 2
163 3L2 LID_1067962 PID_10525 LID_1067962_PID_10525 11.03 0.959999999999999 10.07 M 19059299 12237832 6287951 9126776 32453587 17787701 0.6% 0.4% 0.452281 2023-03-01 DID_1007437 whole_blood 2010-10-01 2021-10-11 asu 0.642092450514576 2
164 5P4 LID_1067964 PID_10525 LID_1067964_PID_10525 8.87 0.943333333333332 7.92666666666667 M 18178666 11022746 6665037 8486690 24887373 16583709 0.6% 0.5% 0.480015 2023-03-01 DID_1007439 whole_blood 2012-11-26 2021-10-11 asu 0.606356153966413 3
165 5B2 LID_1067966 PID_10525 LID_1067966_PID_10525 15.86 4.19666666666667 11.6633333333333 M 49189547 31519982 16267121 23386682 87678534 47481901 0.6% 0.4% 0.461166 2023-03-01 DID_1007441 whole_blood 2005-12-03 2021-10-13 asu 0.640786181665792 3
166 4K7 LID_1067967 PID_10525 LID_1067967_PID_10525 10.95 1.26666666666667 9.68333333333333 M 17904153 10348210 7098421 10247622 23543965 17503047 0.6% 0.4% 0.44733 2023-03-01 DID_1007442 whole_blood 2010-10-31 2021-10-13 asu 0.577978193104136 2
167 2I2 LID_1067968 PID_10525 LID_1067968_PID_10525 11.99 0.993333333333332 10.9966666666667 M 25405799 13273448 11438807 15687906 24752494 24596954 0.7% 0.4% 0.456654 2023-03-01 DID_1007443 whole_blood 2009-10-18 2021-10-13 asu 0.52245741218373 3
168 2C9 LID_1067969 PID_10525 LID_1067969_PID_10525 15.97 3.1475 12.8225 M 11136188 6110512 4689725 6511647 11317346 10558020 0.7% 0.5% 0.454577 2023-03-01 DID_1007444 whole_blood 2005-10-25 2021-10-13 asu 0.548707690638843 4
169 2A5 LID_1067970 PID_10525 LID_1067970_PID_10525 16.78 4.79 11.99 F 20237109 11157516 8532939 10683724 17494706 17578945 0.7% 0.5% 0.753408 2023-03-01 DID_1007445 whole_blood 2005-01-01 2021-10-14 asu 0.551339423037154 2
170 5Q0 LID_1067971 PID_10525 LID_1067971_PID_10525 8.19 0.51 7.68 M 25540380 13733923 11095871 15473494 25021047 24494981 0.7% 0.5% 0.452498 2023-03-01 DID_1007446 whole_blood 2013-08-05 2021-10-14 asu 0.53773369855891 2
171 4S5 LID_1067972 PID_10525 LID_1067972_PID_10525 7.84 0.5 7.34 M 20154378 10621339 8977895 12205711 17445011 19237406 0.7% 0.5% 0.460157 2023-03-01 DID_1007447 whole_blood 2013-12-14 2021-10-18 asu 0.526999096672693 2
172 34Z LID_1067974 PID_10525 LID_1067974_PID_10525 17.64 5.315 12.325 F 25281714 14116453 10506907 14372596 28303021 24057144 0.7% 0.5% 0.762968 2023-03-01 DID_1007449 whole_blood 2004-02-27 2021-10-18 asu 0.558366137675634 2
173 17K LID_1067975 PID_10525 LID_1067975_PID_10525 22.91 2.675 20.235 M 15792959 9329119 6042765 8453270 20428745 14728190 0.6% 0.4% 0.455969 2023-03-01 DID_1007450 whole_blood 1998-11-20 2021-10-18 asu 0.590713811135709 4
174 90P LID_1067978 PID_10525 LID_1067978_PID_10525 19.93 5.345 14.585 F 19880921 11431164 7900973 11104392 23851362 18973565 0.6% 0.5% 0.762773 2023-03-01 DID_1007453 whole_blood 2001-11-12 2021-10-18 asu 0.574981611767382 2
175 5E1 LID_1067979 PID_10525 LID_1067979_PID_10525 14.09 4.445 9.645 M 13049367 7170615 5554679 7683551 14327623 12654282 0.7% 0.5% 0.451123 2023-03-01 DID_1007454 whole_blood 2007-09-14 2021-10-18 asu 0.549499067655925 2
176 96Z LID_1067980 PID_10525 LID_1067980_PID_10525 16.91 4.445 12.465 M 20991863 11665358 8777905 12767810 23709078 20349839 0.7% 0.5% 0.452222 2023-03-01 DID_1007455 whole_blood 2004-11-20 2021-10-18 asu 0.55570856193183 2
177 0P8 LID_1067982 PID_10525 LID_1067982_PID_10525 9.1 0.514999999999999 8.585 M 21302797 11515647 9172462 11726962 23527894 20494975 0.7% 0.5% 0.442395 2023-03-01 DID_1007457 whole_blood 2012-09-13 2021-10-19 asu 0.540569719553728 2
178 2J2 LID_1067983 PID_10525 LID_1067983_PID_10525 12.12 0.52 11.6 F 21764624 11504108 9654573 13435053 19253991 21010634 0.7% 0.5% 0.762168 2023-03-01 DID_1007458 whole_blood 2009-09-07 2021-10-19 asu 0.528569112887041 2
179 5D9 LID_1067985 PID_10525 LID_1067985_PID_10525 14.99 0.505000000000001 14.485 F 15955280 9172059 6297792 8824802 17385871 14595103 0.7% 0.5% 0.770698 2023-03-01 DID_1007460 whole_blood 2006-10-24 2021-10-19 asu 0.574860422380554 2
180 98K LID_1067987 PID_10525 LID_1067987_PID_10525 22.56 3.155 19.405 M 13898856 8254845 5304137 7688267 18418269 13226078 0.6% 0.4% 0.45657 2023-03-01 DID_1007462 whole_blood 1999-03-30 2021-10-20 asu 0.593922622120842 4
181 8E8 LID_1067990 PID_10525 LID_1067990_PID_10525 13.98 0.52 13.46 F 28647885 16528079 11405993 15797222 37748147 27634488 0.6% 0.4% 0.727231 2023-03-01 DID_1007465 whole_blood 2007-10-29 2021-10-21 asu 0.576938890951287 2
182 5R6 LID_1067992 PID_10525 LID_1067992_PID_10525 8.26 0.92 7.34 M 25950136 13913245 11311929 14686589 28818797 25093250 0.6% 0.4% 0.439312 2023-03-01 DID_1007467 whole_blood 2013-07-21 2021-10-25 asu 0.536153066789322 3
183 4M3 LID_1067994 PID_10525 LID_1067994_PID_10525 10.18 0.986666666666666 9.19333333333333 M 23858601 13939967 9267100 12379387 34001685 23070562 0.6% 0.4% 0.450743 2023-03-01 DID_1007469 whole_blood 2011-08-20 2021-10-25 asu 0.584274283307726 3
184 4D3 LID_1067996 PID_10525 LID_1067996_PID_10525 15.08 3.5 11.58 M 17809098 9915317 7408528 10255716 20773349 17221539 0.6% 0.4% 0.452698 2023-03-01 DID_1007471 whole_blood 2006-09-25 2021-10-26 asu 0.556755709918605 2
185 93R LID_1067997 PID_10525 LID_1067997_PID_10525 20.01 4.865 15.145 M 20280441 11001409 8656022 11913727 20648101 19232454 0.7% 0.5% 0.448756 2023-03-01 DID_1007472 whole_blood 2001-10-23 2021-10-27 asu 0.542463992770177 2
186 1R7 LID_1067998 PID_10525 LID_1067998_PID_10525 8.27 0.49 7.78 M 17423617 9128907 7828619 10034026 17299544 16827103 0.7% 0.5% 0.44893 2023-03-01 DID_1007473 whole_blood 2013-07-22 2021-10-27 asu 0.523938686209643 2
187 79Z LID_1067999 PID_10525 LID_1067999_PID_10525 16.93 0.490000000000002 16.44 F 20743196 11157557 9088348 12464783 19533408 19941277 0.7% 0.5% 0.765743 2023-03-01 DID_1007474 whole_blood 2004-11-21 2021-10-27 asu 0.537889966425617 2
188 6N0 LID_1068000 PID_10525 LID_1068000_PID_10525 10.12 1 9.12 M 18193740 10346570 7340288 10264066 21805757 17463579 0.6% 0.4% 0.456225 2023-03-01 DID_1007475 whole_blood 2011-09-12 2021-10-27 asu 0.568688460976138 3
189 18Z LID_1068001 PID_10525 LID_1068001_PID_10525 17.7 2.32666666666666 15.3733333333333 M 20904142 11373153 8980728 12282695 21631462 19945427 0.6% 0.4% 0.451163 2023-03-01 DID_1007476 whole_blood 2004-02-15 2021-10-27 asu 0.544062176768604 3
190 6P5 LID_1068007 PID_10525 LID_1068007_PID_10525 9.11 1.03333333333333 8.07666666666667 M 24008136 12878841 10489849 14168995 26929950 23343728 0.6% 0.4% 0.449773 2023-03-01 DID_1007482 whole_blood 2012-09-23 2021-11-01 asu 0.536436523018697 3
191 59A LID_1068010 PID_10525 LID_1068010_PID_10525 28.92 0.946666666666669 27.9733333333333 F 15287385 7920610 6978036 9309639 14214538 14752927 0.6% 0.4% 0.759941 2023-03-01 DID_1007485 whole_blood 1992-11-29 2021-11-01 asu 0.518114118274643 3
192 33V LID_1068011 PID_10525 LID_1068011_PID_10525 17.82 5.36 12.46 F 20618660 10845216 9287683 12226773 18689205 19925742 0.7% 0.5% 0.762322 2023-03-01 DID_1007486 whole_blood 2004-01-07 2021-11-01 asu 0.525990340788393 2
193 7B3 LID_1068012 PID_10525 LID_1068012_PID_10525 16.02 2.95 13.07 M 24375311 13605714 10176971 13974252 27551002 23367504 0.7% 0.5% 0.455473 2023-03-01 DID_1007487 whole_blood 2005-10-26 2021-11-01 asu 0.558176016708054 2
194 1A3 LID_1068013 PID_10525 LID_1068013_PID_10525 16.93 0.524999999999999 16.405 F 19621212 10137941 8909667 11038318 20135197 19028674 0.7% 0.5% 0.738687 2023-03-01 DID_1007488 whole_blood 2004-11-26 2021-11-01 asu 0.51668271052777 2
195 7D7 LID_1068014 PID_10525 LID_1068014_PID_10525 15.02 0.455 14.565 M 17916975 9213942 8155431 9908966 17604999 17363200 0.7% 0.4% 0.4485 2023-03-01 DID_1007489 whole_blood 2006-10-25 2021-11-01 asu 0.514257680216666 2
196 88T LID_1068015 PID_10525 LID_1068015_PID_10525 17.91 5.25666666666667 12.6533333333333 M 27407116 14672499 12078831 15485224 30423983 26666025 0.6% 0.4% 0.455719 2023-03-01 DID_1007490 whole_blood 2003-12-04 2021-11-02 asu 0.53535362859777 3
197 9I6 LID_1068016 PID_10525 LID_1068016_PID_10525 11.99 0.459999999999999 11.53 F 16456715 9295323 6727248 9454408 18458663 15623167 0.7% 0.5% 0.746763 2023-03-01 DID_1007491 whole_blood 2009-11-07 2021-11-02 asu 0.564834658678843 2
198 44T LID_1068020 PID_10525 LID_1068020_PID_10525 18.85 0.465 18.385 M 16934334 9545438 6910150 9668622 19465090 16081087 0.7% 0.5% 0.456489 2023-03-01 DID_1007495 whole_blood 2002-12-29 2021-11-03 asu 0.563673658497582 2
199 4C3 LID_1068024 PID_10525 LID_1068024_PID_10525 15.86 3.92 11.94 M 17538844 11003277 6099527 8859789 28301566 16919275 0.6% 0.4% 0.451787 2023-03-01 DID_1007499 whole_blood 2005-12-23 2021-11-03 asu 0.627366147962773 3
200 52P LID_1068025 PID_10525 LID_1068025_PID_10525 20.88 4.822 16.058 F 18093254 10438612 7173807 10157588 23010105 17467425 0.7% 0.5% 0.720883 2023-03-01 DID_1007500 whole_blood 2000-12-17 2021-11-04 asu 0.576933922444244 5
201 2A2 LID_1068026 PID_10525 LID_1068026_PID_10525 16.95 3.91333333333333 13.0366666666667 F 21455806 12794553 8082395 11777614 28907566 20338619 0.6% 0.4% 0.758865 2023-03-01 DID_1007501 whole_blood 2004-11-28 2021-11-08 asu 0.59632124749823 3
202 5G3 LID_1068029 PID_10525 LID_1068029_PID_10525 13.16 1.03666666666667 12.1233333333333 M 20933848 11401709 8969443 12171706 22003787 20057502 0.7% 0.5% 0.448413 2023-03-01 DID_1007504 whole_blood 2008-09-10 2021-11-09 asu 0.544654236526414 3
203 8A7 LID_1068030 PID_10525 LID_1068030_PID_10525 17 0.954999999999998 16.045 M 17712144 9107471 8127542 10223028 16706532 17056681 0.6% 0.4% 0.448861 2023-03-01 DID_1007505 whole_blood 2004-11-08 2021-11-09 asu 0.514193595083689 2
204 8C0 LID_1068032 PID_10525 LID_1068032_PID_10525 15.08 3.19 11.89 M 15363888 8401868 6576475 8642333 16808172 14801244 0.7% 0.4% 0.456589 2023-03-01 DID_1007507 whole_blood 2006-10-12 2021-11-09 asu 0.54685819110371 4
205 9D1 LID_1068033 PID_10525 LID_1068033_PID_10525 15.07 1.03666666666667 14.0333333333333 M 16357553 9591975 6297482 9045062 21953482 15763275 0.6% 0.4% 0.451581 2023-03-01 DID_1007508 whole_blood 2006-10-15 2021-11-09 asu 0.5863942485774 3
206 7J8 LID_1068034 PID_10525 LID_1068034_PID_10525 12.18 0.970000000000001 11.21 F 18891947 10110175 8213809 11319646 19645897 18238052 0.7% 0.4% 0.736489 2023-03-01 DID_1007509 whole_blood 2009-09-06 2021-11-09 asu 0.535157916756806 3
